Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	LossBeforeUpdate	LossAfterUpdate	TimestepsThisBatch	TimestepsSoFar	Std
118.58714699745178	36	355.1034482758621	88.56999757744163	649.0	229.0	355.1034482758621	88.56999757744163	39.42302	-33.603596	10298	376062	[0.19136573]
121.5598361492157	37	278.8888888888889	48.509322000906735	407.0	218.0	278.8888888888889	48.509322000906735	-15.99213	-40.517662	10040	386102	[0.19126242]
124.55029296875	38	275.2432432432432	65.12001618857516	488.0	204.0	275.2432432432432	65.12001618857516	2.8556404	-12.033808	10184	396286	[0.19117133]
127.55935096740723	39	301.70588235294116	64.23602132749319	522.0	220.0	301.70588235294116	64.23602132749319	-42.22418	-88.223015	10258	406544	[0.19104534]
130.59161496162415	40	356.6896551724138	83.55469133871946	632.0	226.0	356.6896551724138	83.55469133871946	-28.725761	-32.011566	10344	416888	[0.19090115]
133.54332399368286	41	335.06666666666666	116.24971206654904	824.0	196.0	335.06666666666666	116.24971206654904	-34.712425	-54.183464	10052	426940	[0.190734]
136.4787299633026	42	345.9655172413793	101.90173859253204	675.0	228.0	345.9655172413793	101.90173859253204	-105.511665	-251.14217	10033	436973	[0.19047488]
139.49111890792847	43	367.0357142857143	79.7027881493208	560.0	248.0	367.0357142857143	79.7027881493208	47.36707	27.373646	10277	447250	[0.19028969]
142.56442308425903	44	344.53333333333336	97.32616411953275	658.0	222.0	344.53333333333336	97.32616411953275	79.93313	61.78866	10336	457586	[0.19020648]
145.5133888721466	45	304.90909090909093	115.99382523700538	930.0	242.0	304.90909090909093	115.99382523700538	-54.599648	-79.16675	10062	467648	[0.19007367]
148.53475403785706	46	340.46666666666664	65.21795935340374	508.0	244.0	340.46666666666664	65.21795935340374	19.576042	-610.64233	10214	477862	[0.18997386]
151.58403706550598	47	446.2173913043478	68.39842136605654	661.0	350.0	446.2173913043478	68.39842136605654	-87.65915	-597.9677	10263	488125	[0.18979108]
154.64821696281433	48	521.45	99.58487585974089	730.0	391.0	521.45	99.58487585974089	29.274162	-336.42776	10429	498554	[0.18965659]
157.69852781295776	49	649.375	116.8604268989293	918.0	471.0	649.375	116.8604268989293	59.699047	-228.6056	10390	508944	[0.18959911]
160.6478819847107	50	917.7272727272727	92.8078081639597	1000.0	747.0	917.7272727272727	92.8078081639597	-39.95976	-283.49384	10095	519039	[0.18950379]
163.8652789592743	51	1000.0	0.0	1000.0	1000.0	1000.0	0.0	94.34183	48.848076	11000	530039	[0.18952005]
167.04911398887634	52	1000.0	0.0	1000.0	1000.0	1000.0	0.0	47.589554	32.03379	11000	541039	[0.18958654]
170.25647711753845	53	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-49.796387	-49.34868	11000	552039	[0.18959227]
173.46946501731873	54	1000.0	0.0	1000.0	1000.0	1000.0	0.0	-20.598392	-23.402847	11000	563039	[0.18957473]
176.67312002182007	55	1000.0	0.0	1000.0	1000.0	1000.0	0.0	161.53055	165.53648	11000	574039	[0.18973358]
